scrape_ts,city,probe_locality,probe_lat,probe_lng,restaurant_id,name,locality,area_name,cost_for_two_raw,cuisines,avg_rating,total_ratings_raw,delivery_time_min,last_mile_km,is_open,veg_only,offer_header,offer_subheader,offer_tag,chain_parent_id,cost_for_two,n_ratings,offer_type,offer_pct,offer_flat,offer_cap,offer_min_order,item_price,locality_reach,chain_outlets,is_chain,n_cuisines,primary_cuisine,has_offer,log_cost,log_votes,cost_w,cost_pct_in_city
2026-09-19 21:12:19,Mumbai,Lower Parel,18.996,72.8258,121797,Bake Ur Day - Freshest Cakes,Prabhadevi,Prabhadevi,₹250 for two,Desserts|Bakery|Cakes and Pastries|Beverages,4.3,7.8K+,33,3.0,True,True,60% OFF,UPTO ₹120,,444438,250.0,7800.0,percent,60.0,0.0,120.0,,,1,1,0,4,Desserts,1,5.521460917862246,8.962007209588313,250.0,0.2695167286245353
2026-09-19 21:12:19,Mumbai,Thane West,19.2183,72.9781,122592,Sweet Truth - Cake and Desserts,Azad Nagar,Thane West,₹450 for two,Desserts|Ice Cream|Bakery|Beverages,3.8,1.7K+,27,1.1,True,False,ITEMS,AT ₹69,,4444,450.0,1700.0,item_price_point,0.0,0.0,,,69.0,1,32,1,4,Desserts,1,6.1092475827643655,7.438971592395862,450.0,0.8568773234200744
2026-09-19 21:12:19,Chennai,Anna Nagar,13.085,80.2101,123479,NIC Ice Creams,Anna Nagar,Anna Nagar,₹120 for two,Ice Cream|Desserts,4.7,15K+,19,1.0,True,False,70% OFF,UPTO ₹140,,6249,120.0,15000.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,9.61587214452889,120.0,0.024793388429752067
2026-09-19 21:12:19,Chennai,Adyar,13.0012,80.2565,123481,NIC Ice Creams,Ellaimman Koil Street,Adyar,₹120 for two,Ice Cream|Desserts,4.6,11K+,11,1.4,True,True,70% OFF,UPTO ₹140,,6249,120.0,11000.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,9.305741456739435,120.0,0.024793388429752067
2026-09-19 21:12:19,Hyderabad,Dilsukhnagar,17.3687,78.5247,124595,Sweet Truth - Cake and Desserts,Moosarambagh,New Malakpet,₹450 for two,Desserts|Ice Cream|Bakery|Beverages,4.1,2.7K+,24,1.2,True,False,ITEMS,AT ₹69,,4444,450.0,2700.0,item_price_point,0.0,0.0,,,69.0,1,32,1,4,Desserts,1,6.1092475827643655,7.901377353792616,450.0,0.7835497835497836
2026-09-19 21:12:19,Kolkata,Dumdum,22.642,88.422,124841,Mio Amore - The Cake Shop,Dumdum,Airport,₹150 for two,Bakery|Desserts|Snacks|Confectionery,4.6,16K+,20,1.3,True,False,,,,292958,150.0,16000.0,none,0.0,0.0,,,,1,7,1,4,Bakery,0,5.0106352940962555,9.680406499268875,150.0,0.10572687224669604
2026-09-19 21:12:19,Mumbai,Malad West,19.1868,72.8484,124880,Evorea,Malad West,Malad West,₹400 for two,Desserts|Bakery|Sweets,4.4,7.1K+,19,0.9,True,True,ITEMS,AT ₹65,,604083,400.0,7100.0,item_price_point,0.0,0.0,,,65.0,1,2,0,3,Desserts,1,5.991464547107982,8.867990898182093,400.0,0.7193308550185874
2026-09-19 21:12:19,Kolkata,Tollygunge,22.495,88.345,124991,Dariole,Southern Avenue,Kalighat,₹150 for two,Bakery|Desserts,4.7,5.1K+,32,2.8,True,False,ITEMS,AT ₹35,,6960,150.0,5100.0,item_price_point,0.0,0.0,,,35.0,1,1,0,2,Bakery,1,5.0106352940962555,8.537191877922927,150.0,0.10572687224669604
2026-09-19 21:12:19,Chennai,OMR Thoraipakkam,12.94,80.234,125354,Behrouz Biryani,Kandanchavadi,Perungudi,₹500 for two,Biryani|Kebabs|Mughlai|Lucknowi|Hyderabadi|Desserts|Beverages,4.2,4.2K+,35,4.9,True,False,65% OFF,UPTO ₹125,,1803,500.0,4200.0,percent,65.0,0.0,125.0,,,1,12,1,7,Biryani,1,6.214608098422191,8.343077871169383,500.0,0.9070247933884298
2026-09-19 21:12:19,Chennai,OMR Thoraipakkam,12.94,80.234,125369,LunchBox - Meals and Thalis,Kandanchavadi,Perungudi,₹200 for two,Thalis|North Indian|Biryani|South Indian|Desserts|Beverages,4.5,12K+,33,4.9,True,False,ITEMS,AT ₹99,,4925,200.0,12000.0,item_price_point,0.0,0.0,,,99.0,1,17,1,6,Thalis,1,5.298317366548036,9.392745258631441,200.0,0.10950413223140495
